______________________________	 Running Epoch 1 of 10 	______________________________
[Training] Itteration/Batch:   0/2162: Loss: 2.43 | Accuracy: 0.57

______________________________	 Running Epoch 3 of 10 	______________________________
[Training] Itteration/Batch:   0/2170: Loss: 0.27 | Accuracy: 1.00
[Training] Itteration/Batch:  25/2170: Loss: 0.40 | Accuracy: 1.00
[Training] Itteration/Batch:  50/2170: Loss: 0.88 | Accuracy: 0.96
[Training] Itteration/Batch:  75/2170: Loss: 0.32 | Accuracy: 1.00
[Training] Itteration/Batch: 100/2170: Loss: 2.37 | Accuracy: 0.83
[Training] Itteration/Batch: 125/2170: Loss: 1.87 | Accuracy: 0.96
[Training] Itteration/Batch: 150/2170: Loss: 0.83 | Accuracy: 0.98
[Training] Itteration/Batch: 175/2170: Loss: 0.71 | Accuracy: 0.88
[Training] Itteration/Batch: 200/2170: Loss: 0.22 | Accuracy: 1.00
[Training] Itteration/Batch: 225/2170: Loss: 0.41 | Accuracy: 1.00
[Training] Itteration/Batch: 250/2170: Loss: 0.55 | Accuracy: 0.92
[Training] Itteration/Batch: 275/2170: Loss: 0.65 | Accuracy: 0.90
[Training] Itteration/Batch: 300/2170: Loss: 0.72 | Accuracy: 0.96
[Training] Itteration/Batch: 325/2170: Loss: 1.29 | Accuracy: 0.96
[Training] Itteration/Batch: 350/2170: Loss: 0.38 | Accuracy: 1.00
[Training] Itteration/Batch: 375/2170: Loss: 0.74 | Accuracy: 0.95
[Training] Itteration/Batch: 400/2170: Loss: 0.28 | Accuracy: 1.00
[Training] Itteration/Batch: 425/2170: Loss: 1.70 | Accuracy: 0.93
[Training] Itteration/Batch: 450/2170: Loss: 0.49 | Accuracy: 0.96
[Training] Itteration/Batch: 475/2170: Loss: 0.26 | Accuracy: 1.00
[Training] Itteration/Batch: 500/2170: Loss: 1.14 | Accuracy: 0.89
[Training] Itteration/Batch: 525/2170: Loss: 2.02 | Accuracy: 0.90
[Training] Itteration/Batch: 550/2170: Loss: 0.80 | Accuracy: 0.96
[Training] Itteration/Batch: 575/2170: Loss: 1.47 | Accuracy: 0.92
[Training] Itteration/Batch: 600/2170: Loss: 0.59 | Accuracy: 0.98
[Training] Itteration/Batch: 625/2170: Loss: 1.70 | Accuracy: 0.90
[Training] Itteration/Batch: 650/2170: Loss: 1.18 | Accuracy: 0.88
[Training] Itteration/Batch: 675/2170: Loss: 3.63 | Accuracy: 0.94
[Training] Itteration/Batch: 700/2170: Loss: 0.76 | Accuracy: 0.92
[Training] Itteration/Batch: 725/2170: Loss: 0.56 | Accuracy: 0.96
[Training] Itteration/Batch: 750/2170: Loss: 0.68 | Accuracy: 0.92
[Training] Itteration/Batch: 775/2170: Loss: 0.86 | Accuracy: 0.98
[Training] Itteration/Batch: 800/2170: Loss: 0.28 | Accuracy: 1.00
[Training] Itteration/Batch: 825/2170: Loss: 1.30 | Accuracy: 0.92
[Training] Itteration/Batch: 850/2170: Loss: 0.44 | Accuracy: 0.94
[Training] Itteration/Batch: 875/2170: Loss: 0.36 | Accuracy: 0.96
[Training] Itteration/Batch: 900/2170: Loss: 2.11 | Accuracy: 0.98
[Training] Itteration/Batch: 925/2170: Loss: 1.30 | Accuracy: 0.92
[Training] Itteration/Batch: 950/2170: Loss: 0.45 | Accuracy: 0.94
[Training] Itteration/Batch: 975/2170: Loss: 0.91 | Accuracy: 0.93
[Training] Itteration/Batch: 1000/2170: Loss: 0.75 | Accuracy: 0.93
[Training] Itteration/Batch: 1025/2170: Loss: 2.12 | Accuracy: 0.96
[Training] Itteration/Batch: 1050/2170: Loss: 0.36 | Accuracy: 1.00
[Training] Itteration/Batch: 1075/2170: Loss: 2.27 | Accuracy: 0.81
[Training] Itteration/Batch: 1100/2170: Loss: 1.29 | Accuracy: 0.86
[Training] Itteration/Batch: 1125/2170: Loss: 0.22 | Accuracy: 1.00
[Training] Itteration/Batch: 1150/2170: Loss: 3.34 | Accuracy: 0.94
[Training] Itteration/Batch: 1175/2170: Loss: 2.10 | Accuracy: 0.95
[Training] Itteration/Batch: 1200/2170: Loss: 0.57 | Accuracy: 1.00
[Training] Itteration/Batch: 1225/2170: Loss: 0.22 | Accuracy: 1.00
[Training] Itteration/Batch: 1250/2170: Loss: 0.47 | Accuracy: 0.98
[Training] Itteration/Batch: 1275/2170: Loss: 0.43 | Accuracy: 0.94
[Training] Itteration/Batch: 1300/2170: Loss: 2.14 | Accuracy: 0.94
[Training] Itteration/Batch: 1325/2170: Loss: 0.63 | Accuracy: 0.98
[Training] Itteration/Batch: 1350/2170: Loss: 0.45 | Accuracy: 0.94
[Training] Itteration/Batch: 1375/2170: Loss: 1.48 | Accuracy: 0.84
[Training] Itteration/Batch: 1400/2170: Loss: 0.19 | Accuracy: 1.00
[Training] Itteration/Batch: 1425/2170: Loss: 0.51 | Accuracy: 0.98
[Training] Itteration/Batch: 1450/2170: Loss: 0.64 | Accuracy: 0.94
[Training] Itteration/Batch: 1475/2170: Loss: 0.33 | Accuracy: 0.96
[Training] Itteration/Batch: 1500/2170: Loss: 0.79 | Accuracy: 0.85
[Training] Itteration/Batch: 1525/2170: Loss: 0.81 | Accuracy: 0.98
[Training] Itteration/Batch: 1550/2170: Loss: 0.53 | Accuracy: 0.89
[Training] Itteration/Batch: 1575/2170: Loss: 0.77 | Accuracy: 0.96
[Training] Itteration/Batch: 1600/2170: Loss: 0.53 | Accuracy: 0.96
[Training] Itteration/Batch: 1625/2170: Loss: 1.17 | Accuracy: 0.82
[Training] Itteration/Batch: 1650/2170: Loss: 0.60 | Accuracy: 0.94
[Training] Itteration/Batch: 1675/2170: Loss: 0.28 | Accuracy: 1.00
[Training] Itteration/Batch: 1700/2170: Loss: 0.79 | Accuracy: 0.96
[Training] Itteration/Batch: 1725/2170: Loss: 1.22 | Accuracy: 0.94
[Training] Itteration/Batch: 1750/2170: Loss: 0.58 | Accuracy: 0.98
[Training] Itteration/Batch: 1775/2170: Loss: 1.86 | Accuracy: 0.96
[Training] Itteration/Batch: 1800/2170: Loss: 0.50 | Accuracy: 0.96
[Training] Itteration/Batch: 1825/2170: Loss: 4.06 | Accuracy: 0.78
[Training] Itteration/Batch: 1850/2170: Loss: 0.99 | Accuracy: 0.96
[Training] Itteration/Batch: 1875/2170: Loss: 1.07 | Accuracy: 0.92
[Training] Itteration/Batch: 1900/2170: Loss: 0.37 | Accuracy: 0.96
[Training] Itteration/Batch: 1925/2170: Loss: 1.53 | Accuracy: 0.88
[Training] Itteration/Batch: 1950/2170: Loss: 0.25 | Accuracy: 1.00
[Training] Itteration/Batch: 1975/2170: Loss: 0.24 | Accuracy: 1.00
[Training] Itteration/Batch: 2000/2170: Loss: 1.80 | Accuracy: 0.96
[Training] Itteration/Batch: 2025/2170: Loss: 0.26 | Accuracy: 1.00
[Training] Itteration/Batch: 2050/2170: Loss: 0.23 | Accuracy: 1.00
[Training] Itteration/Batch: 2075/2170: Loss: 0.25 | Accuracy: 1.00
[Training] Itteration/Batch: 2100/2170: Loss: 0.18 | Accuracy: 1.00
[Training] Itteration/Batch: 2125/2170: Loss: 0.43 | Accuracy: 0.98
[Training] Itteration/Batch: 2150/2170: Loss: 0.29 | Accuracy: 1.00

Epoch 3: Val Bin. F1 Majority 0.4292035400867462 | Val Macro F1 Majority 0.7029947877268725 |             Val Bin F1 Individual 0.4234172999858856 | Val Macro F1 Individual 0.699599650083347 |             Val Accuracy Majority 0.9553864598274231 | Val Accuracy Individual 0.95351642370224 | Training Loss:0.845838725566864 |             Val Loss 0.9539823532104492 | Train Runtime Millis 224381.32796005812 | Val Runtime Millis 40758.179042954

______________________________	 Running Epoch 4 of 10 	______________________________
[Training] Itteration/Batch:   0/2170: Loss: 0.71 | Accuracy: 0.98
[Training] Itteration/Batch:  25/2170: Loss: 0.18 | Accuracy: 1.00
[Training] Itteration/Batch:  50/2170: Loss: 0.43 | Accuracy: 0.98
[Training] Itteration/Batch:  75/2170: Loss: 0.21 | Accuracy: 1.00
[Training] Itteration/Batch: 100/2170: Loss: 0.70 | Accuracy: 0.98
[Training] Itteration/Batch: 125/2170: Loss: 0.37 | Accuracy: 0.94
[Training] Itteration/Batch: 150/2170: Loss: 0.92 | Accuracy: 0.96
[Training] Itteration/Batch: 175/2170: Loss: 1.02 | Accuracy: 0.91
[Training] Itteration/Batch: 200/2170: Loss: 0.49 | Accuracy: 0.98
[Training] Itteration/Batch: 225/2170: Loss: 1.10 | Accuracy: 0.90
[Training] Itteration/Batch: 250/2170: Loss: 1.01 | Accuracy: 0.91
[Training] Itteration/Batch: 275/2170: Loss: 0.40 | Accuracy: 0.98
[Training] Itteration/Batch: 300/2170: Loss: 0.58 | Accuracy: 0.94
[Training] Itteration/Batch: 325/2170: Loss: 0.78 | Accuracy: 0.94
[Training] Itteration/Batch: 350/2170: Loss: 2.79 | Accuracy: 0.96
[Training] Itteration/Batch: 375/2170: Loss: 1.40 | Accuracy: 0.94
[Training] Itteration/Batch: 400/2170: Loss: 0.32 | Accuracy: 1.00
[Training] Itteration/Batch: 425/2170: Loss: 0.23 | Accuracy: 1.00
[Training] Itteration/Batch: 450/2170: Loss: 0.60 | Accuracy: 0.94
[Training] Itteration/Batch: 475/2170: Loss: 0.46 | Accuracy: 0.94
[Training] Itteration/Batch: 500/2170: Loss: 0.18 | Accuracy: 1.00
[Training] Itteration/Batch: 525/2170: Loss: 0.95 | Accuracy: 0.96
[Training] Itteration/Batch: 550/2170: Loss: 1.81 | Accuracy: 0.97
[Training] Itteration/Batch: 575/2170: Loss: 0.20 | Accuracy: 1.00
[Training] Itteration/Batch: 600/2170: Loss: 1.48 | Accuracy: 0.92
[Training] Itteration/Batch: 625/2170: Loss: 0.56 | Accuracy: 0.94
[Training] Itteration/Batch: 650/2170: Loss: 0.16 | Accuracy: 1.00
[Training] Itteration/Batch: 675/2170: Loss: 1.81 | Accuracy: 0.92
[Training] Itteration/Batch: 700/2170: Loss: 0.47 | Accuracy: 0.96
[Training] Itteration/Batch: 725/2170: Loss: 0.20 | Accuracy: 1.00
[Training] Itteration/Batch: 750/2170: Loss: 0.87 | Accuracy: 0.94
[Training] Itteration/Batch: 775/2170: Loss: 0.75 | Accuracy: 0.92
[Training] Itteration/Batch: 800/2170: Loss: 0.38 | Accuracy: 0.98
[Training] Itteration/Batch: 825/2170: Loss: 0.37 | Accuracy: 0.96
[Training] Itteration/Batch: 850/2170: Loss: 0.26 | Accuracy: 1.00
[Training] Itteration/Batch: 875/2170: Loss: 0.38 | Accuracy: 0.95
[Training] Itteration/Batch: 900/2170: Loss: 3.17 | Accuracy: 0.94
[Training] Itteration/Batch: 925/2170: Loss: 1.56 | Accuracy: 0.92
[Training] Itteration/Batch: 950/2170: Loss: 0.14 | Accuracy: 1.00
[Training] Itteration/Batch: 975/2170: Loss: 0.29 | Accuracy: 0.98
[Training] Itteration/Batch: 1000/2170: Loss: 0.38 | Accuracy: 0.98
[Training] Itteration/Batch: 1025/2170: Loss: 2.69 | Accuracy: 0.91
[Training] Itteration/Batch: 1050/2170: Loss: 2.71 | Accuracy: 0.94
[Training] Itteration/Batch: 1075/2170: Loss: 1.06 | Accuracy: 0.96
[Training] Itteration/Batch: 1100/2170: Loss: 0.82 | Accuracy: 0.98
[Training] Itteration/Batch: 1125/2170: Loss: 1.20 | Accuracy: 0.88
[Training] Itteration/Batch: 1150/2170: Loss: 0.89 | Accuracy: 0.98
[Training] Itteration/Batch: 1175/2170: Loss: 0.63 | Accuracy: 0.92
[Training] Itteration/Batch: 1200/2170: Loss: 0.74 | Accuracy: 0.90
[Training] Itteration/Batch: 1225/2170: Loss: 0.37 | Accuracy: 0.96
[Training] Itteration/Batch: 1250/2170: Loss: 0.32 | Accuracy: 0.98
[Training] Itteration/Batch: 1275/2170: Loss: 0.17 | Accuracy: 1.00
[Training] Itteration/Batch: 1300/2170: Loss: 3.71 | Accuracy: 0.93
[Training] Itteration/Batch: 1325/2170: Loss: 0.47 | Accuracy: 0.92
[Training] Itteration/Batch: 1350/2170: Loss: 1.20 | Accuracy: 0.90
[Training] Itteration/Batch: 1375/2170: Loss: 0.19 | Accuracy: 1.00
[Training] Itteration/Batch: 1400/2170: Loss: 1.73 | Accuracy: 0.94
[Training] Itteration/Batch: 1425/2170: Loss: 0.23 | Accuracy: 1.00
[Training] Itteration/Batch: 1450/2170: Loss: 0.47 | Accuracy: 0.95
[Training] Itteration/Batch: 1475/2170: Loss: 0.67 | Accuracy: 0.95
[Training] Itteration/Batch: 1500/2170: Loss: 0.27 | Accuracy: 0.98
[Training] Itteration/Batch: 1525/2170: Loss: 0.46 | Accuracy: 0.94
[Training] Itteration/Batch: 1550/2170: Loss: 1.11 | Accuracy: 0.87
[Training] Itteration/Batch: 1575/2170: Loss: 1.14 | Accuracy: 0.91
[Training] Itteration/Batch: 1600/2170: Loss: 1.17 | Accuracy: 0.98
[Training] Itteration/Batch: 1625/2170: Loss: 0.35 | Accuracy: 1.00
[Training] Itteration/Batch: 1650/2170: Loss: 0.80 | Accuracy: 0.87
[Training] Itteration/Batch: 1675/2170: Loss: 0.37 | Accuracy: 0.96
[Training] Itteration/Batch: 1700/2170: Loss: 0.30 | Accuracy: 1.00
[Training] Itteration/Batch: 1725/2170: Loss: 0.58 | Accuracy: 0.98
[Training] Itteration/Batch: 1750/2170: Loss: 0.83 | Accuracy: 0.96
[Training] Itteration/Batch: 1775/2170: Loss: 1.34 | Accuracy: 0.98
[Training] Itteration/Batch: 1800/2170: Loss: 0.76 | Accuracy: 0.94
[Training] Itteration/Batch: 1825/2170: Loss: 0.81 | Accuracy: 0.88
[Training] Itteration/Batch: 1850/2170: Loss: 2.48 | Accuracy: 0.82
[Training] Itteration/Batch: 1875/2170: Loss: 0.45 | Accuracy: 0.93
[Training] Itteration/Batch: 1900/2170: Loss: 0.37 | Accuracy: 1.00
[Training] Itteration/Batch: 1925/2170: Loss: 0.16 | Accuracy: 1.00
[Training] Itteration/Batch: 1950/2170: Loss: 0.30 | Accuracy: 0.98
[Training] Itteration/Batch: 1975/2170: Loss: 0.46 | Accuracy: 0.96
[Training] Itteration/Batch: 2000/2170: Loss: 0.54 | Accuracy: 0.91
[Training] Itteration/Batch: 2025/2170: Loss: 0.53 | Accuracy: 0.96
[Training] Itteration/Batch: 2050/2170: Loss: 0.21 | Accuracy: 1.00
[Training] Itteration/Batch: 2075/2170: Loss: 3.67 | Accuracy: 0.88
[Training] Itteration/Batch: 2100/2170: Loss: 0.12 | Accuracy: 1.00
[Training] Itteration/Batch: 2125/2170: Loss: 0.17 | Accuracy: 1.00
[Training] Itteration/Batch: 2150/2170: Loss: 0.32 | Accuracy: 0.98

Epoch 4: Val Bin. F1 Majority 0.41129031777381897 | Val Macro F1 Majority 0.6924563627356703 |             Val Bin F1 Individual 0.4116385877132416 | Val Macro F1 Individual 0.6920231708264785 |             Val Accuracy Majority 0.9495071768760681 | Val Accuracy Individual 0.9472875595092773 | Training Loss:0.7155151963233948 |             Val Loss 0.9254778623580933 | Train Runtime Millis 224603.01971598528 | Val Runtime Millis 40549.052435089834

______________________________	 Running Epoch 5 of 10 	______________________________
[Training] Itteration/Batch:   0/2170: Loss: 0.31 | Accuracy: 0.96
[Training] Itteration/Batch:  25/2170: Loss: 0.63 | Accuracy: 0.98
[Training] Itteration/Batch:  50/2170: Loss: 0.25 | Accuracy: 1.00
[Training] Itteration/Batch:  75/2170: Loss: 0.14 | Accuracy: 1.00
[Training] Itteration/Batch: 100/2170: Loss: 1.22 | Accuracy: 0.93
[Training] Itteration/Batch: 125/2170: Loss: 1.02 | Accuracy: 0.90
[Training] Itteration/Batch: 150/2170: Loss: 0.19 | Accuracy: 1.00
[Training] Itteration/Batch: 175/2170: Loss: 0.67 | Accuracy: 0.93
[Training] Itteration/Batch: 200/2170: Loss: 0.53 | Accuracy: 0.98
[Training] Itteration/Batch: 225/2170: Loss: 0.70 | Accuracy: 0.96
[Training] Itteration/Batch: 250/2170: Loss: 0.17 | Accuracy: 1.00
[Training] Itteration/Batch: 275/2170: Loss: 0.37 | Accuracy: 0.92
[Training] Itteration/Batch: 300/2170: Loss: 0.47 | Accuracy: 0.93
[Training] Itteration/Batch: 325/2170: Loss: 1.69 | Accuracy: 0.83
[Training] Itteration/Batch: 350/2170: Loss: 0.39 | Accuracy: 0.98
[Training] Itteration/Batch: 375/2170: Loss: 0.27 | Accuracy: 0.96
[Training] Itteration/Batch: 400/2170: Loss: 0.45 | Accuracy: 0.94
[Training] Itteration/Batch: 425/2170: Loss: 0.14 | Accuracy: 1.00
[Training] Itteration/Batch: 450/2170: Loss: 0.56 | Accuracy: 0.94
[Training] Itteration/Batch: 475/2170: Loss: 1.97 | Accuracy: 0.86
[Training] Itteration/Batch: 500/2170: Loss: 0.27 | Accuracy: 0.98
[Training] Itteration/Batch: 525/2170: Loss: 0.92 | Accuracy: 0.96
[Training] Itteration/Batch: 550/2170: Loss: 0.78 | Accuracy: 0.93
[Training] Itteration/Batch: 575/2170: Loss: 0.15 | Accuracy: 1.00
[Training] Itteration/Batch: 600/2170: Loss: 0.11 | Accuracy: 1.00
[Training] Itteration/Batch: 625/2170: Loss: 0.61 | Accuracy: 0.98
[Training] Itteration/Batch: 650/2170: Loss: 0.54 | Accuracy: 0.98
[Training] Itteration/Batch: 675/2170: Loss: 0.17 | Accuracy: 1.00
[Training] Itteration/Batch: 700/2170: Loss: 0.16 | Accuracy: 1.00
[Training] Itteration/Batch: 725/2170: Loss: 0.16 | Accuracy: 1.00
[Training] Itteration/Batch: 750/2170: Loss: 0.23 | Accuracy: 1.00
[Training] Itteration/Batch: 775/2170: Loss: 0.34 | Accuracy: 0.98
[Training] Itteration/Batch: 800/2170: Loss: 0.20 | Accuracy: 1.00
[Training] Itteration/Batch: 825/2170: Loss: 0.72 | Accuracy: 0.94
[Training] Itteration/Batch: 850/2170: Loss: 0.27 | Accuracy: 0.98
[Training] Itteration/Batch: 875/2170: Loss: 1.00 | Accuracy: 0.94
[Training] Itteration/Batch: 900/2170: Loss: 0.15 | Accuracy: 1.00
[Training] Itteration/Batch: 925/2170: Loss: 0.74 | Accuracy: 0.90
[Training] Itteration/Batch: 950/2170: Loss: 0.37 | Accuracy: 0.98
[Training] Itteration/Batch: 975/2170: Loss: 0.80 | Accuracy: 0.98
[Training] Itteration/Batch: 1000/2170: Loss: 0.41 | Accuracy: 0.98
[Training] Itteration/Batch: 1025/2170: Loss: 2.81 | Accuracy: 0.96
[Training] Itteration/Batch: 1050/2170: Loss: 0.15 | Accuracy: 1.00
[Training] Itteration/Batch: 1075/2170: Loss: 0.51 | Accuracy: 0.94
[Training] Itteration/Batch: 1100/2170: Loss: 0.57 | Accuracy: 0.94
[Training] Itteration/Batch: 1125/2170: Loss: 0.39 | Accuracy: 0.96
[Training] Itteration/Batch: 1150/2170: Loss: 0.59 | Accuracy: 0.96
[Training] Itteration/Batch: 1175/2170: Loss: 0.43 | Accuracy: 0.96
[Training] Itteration/Batch: 1200/2170: Loss: 0.27 | Accuracy: 1.00
[Training] Itteration/Batch: 1225/2170: Loss: 0.53 | Accuracy: 0.96
[Training] Itteration/Batch: 1250/2170: Loss: 1.12 | Accuracy: 0.92
[Training] Itteration/Batch: 1275/2170: Loss: 0.96 | Accuracy: 0.92
[Training] Itteration/Batch: 1300/2170: Loss: 0.78 | Accuracy: 0.98
[Training] Itteration/Batch: 1325/2170: Loss: 1.72 | Accuracy: 0.89
[Training] Itteration/Batch: 1350/2170: Loss: 0.40 | Accuracy: 1.00
[Training] Itteration/Batch: 1375/2170: Loss: 1.49 | Accuracy: 0.92
[Training] Itteration/Batch: 1400/2170: Loss: 0.30 | Accuracy: 1.00
[Training] Itteration/Batch: 1425/2170: Loss: 1.09 | Accuracy: 0.98
[Training] Itteration/Batch: 1450/2170: Loss: 0.49 | Accuracy: 0.98
[Training] Itteration/Batch: 1475/2170: Loss: 1.67 | Accuracy: 0.92
[Training] Itteration/Batch: 1500/2170: Loss: 0.74 | Accuracy: 0.96
[Training] Itteration/Batch: 1525/2170: Loss: 0.87 | Accuracy: 0.92
[Training] Itteration/Batch: 1550/2170: Loss: 0.49 | Accuracy: 0.96
[Training] Itteration/Batch: 1575/2170: Loss: 0.26 | Accuracy: 1.00
[Training] Itteration/Batch: 1600/2170: Loss: 0.98 | Accuracy: 0.98
[Training] Itteration/Batch: 1625/2170: Loss: 0.34 | Accuracy: 1.00
[Training] Itteration/Batch: 1650/2170: Loss: 0.97 | Accuracy: 0.86
[Training] Itteration/Batch: 1675/2170: Loss: 0.67 | Accuracy: 0.90
[Training] Itteration/Batch: 1700/2170: Loss: 0.36 | Accuracy: 0.98
[Training] Itteration/Batch: 1725/2170: Loss: 0.37 | Accuracy: 0.96
[Training] Itteration/Batch: 1750/2170: Loss: 2.08 | Accuracy: 0.98
[Training] Itteration/Batch: 1775/2170: Loss: 0.88 | Accuracy: 0.96
[Training] Itteration/Batch: 1800/2170: Loss: 0.96 | Accuracy: 0.88
[Training] Itteration/Batch: 1825/2170: Loss: 0.77 | Accuracy: 0.96
[Training] Itteration/Batch: 1850/2170: Loss: 0.47 | Accuracy: 0.98
[Training] Itteration/Batch: 1875/2170: Loss: 0.89 | Accuracy: 0.88
[Training] Itteration/Batch: 1900/2170: Loss: 0.43 | Accuracy: 0.98
[Training] Itteration/Batch: 1925/2170: Loss: 1.34 | Accuracy: 0.96
[Training] Itteration/Batch: 1950/2170: Loss: 0.41 | Accuracy: 0.94
[Training] Itteration/Batch: 1975/2170: Loss: 0.23 | Accuracy: 1.00
[Training] Itteration/Batch: 2000/2170: Loss: 0.34 | Accuracy: 0.98
[Training] Itteration/Batch: 2025/2170: Loss: 0.46 | Accuracy: 0.92
[Training] Itteration/Batch: 2050/2170: Loss: 0.13 | Accuracy: 1.00
[Training] Itteration/Batch: 2075/2170: Loss: 0.87 | Accuracy: 0.93
[Training] Itteration/Batch: 2100/2170: Loss: 0.13 | Accuracy: 1.00
[Training] Itteration/Batch: 2125/2170: Loss: 0.29 | Accuracy: 0.98
[Training] Itteration/Batch: 2150/2170: Loss: 0.79 | Accuracy: 0.98

Epoch 5: Val Bin. F1 Majority 0.41407033801078796 | Val Macro F1 Majority 0.6938671766021688 |             Val Bin F1 Individual 0.415681391954422 | Val Macro F1 Individual 0.6943632598168408 |             Val Accuracy Majority 0.9495936632156372 | Val Accuracy Individual 0.948467493057251 | Training Loss:0.6236950159072876 |             Val Loss 0.9466630220413208 | Train Runtime Millis 224553.5727579845 | Val Runtime Millis 40788.395823095925

______________________________	 Running Epoch 6 of 10 	______________________________
[Training] Itteration/Batch:   0/2170: Loss: 0.12 | Accuracy: 1.00
[Training] Itteration/Batch:  25/2170: Loss: 0.12 | Accuracy: 1.00
[Training] Itteration/Batch:  50/2170: Loss: 0.78 | Accuracy: 0.91
[Training] Itteration/Batch:  75/2170: Loss: 2.53 | Accuracy: 0.93
[Training] Itteration/Batch: 100/2170: Loss: 0.15 | Accuracy: 1.00
[Training] Itteration/Batch: 125/2170: Loss: 0.54 | Accuracy: 0.94
[Training] Itteration/Batch: 150/2170: Loss: 0.56 | Accuracy: 0.96
[Training] Itteration/Batch: 175/2170: Loss: 0.32 | Accuracy: 0.98
[Training] Itteration/Batch: 200/2170: Loss: 1.31 | Accuracy: 0.98
[Training] Itteration/Batch: 225/2170: Loss: 0.34 | Accuracy: 0.96
[Training] Itteration/Batch: 250/2170: Loss: 0.29 | Accuracy: 0.98
[Training] Itteration/Batch: 275/2170: Loss: 0.73 | Accuracy: 0.90
[Training] Itteration/Batch: 300/2170: Loss: 2.41 | Accuracy: 0.98
[Training] Itteration/Batch: 325/2170: Loss: 1.41 | Accuracy: 0.92
[Training] Itteration/Batch: 350/2170: Loss: 0.12 | Accuracy: 1.00
[Training] Itteration/Batch: 375/2170: Loss: 0.55 | Accuracy: 0.91
[Training] Itteration/Batch: 400/2170: Loss: 0.83 | Accuracy: 0.98
[Training] Itteration/Batch: 425/2170: Loss: 1.39 | Accuracy: 0.98
[Training] Itteration/Batch: 450/2170: Loss: 0.95 | Accuracy: 0.94
[Training] Itteration/Batch: 475/2170: Loss: 0.91 | Accuracy: 0.95
[Training] Itteration/Batch: 500/2170: Loss: 0.47 | Accuracy: 0.96
[Training] Itteration/Batch: 525/2170: Loss: 0.35 | Accuracy: 0.98
[Training] Itteration/Batch: 550/2170: Loss: 0.97 | Accuracy: 0.93
[Training] Itteration/Batch: 575/2170: Loss: 0.23 | Accuracy: 0.98
[Training] Itteration/Batch: 600/2170: Loss: 1.22 | Accuracy: 0.96
[Training] Itteration/Batch: 625/2170: Loss: 0.09 | Accuracy: 1.00
[Training] Itteration/Batch: 650/2170: Loss: 1.54 | Accuracy: 0.84
[Training] Itteration/Batch: 675/2170: Loss: 0.17 | Accuracy: 1.00
[Training] Itteration/Batch: 700/2170: Loss: 0.30 | Accuracy: 0.96
[Training] Itteration/Batch: 725/2170: Loss: 0.27 | Accuracy: 0.98
[Training] Itteration/Batch: 750/2170: Loss: 1.05 | Accuracy: 0.94
[Training] Itteration/Batch: 775/2170: Loss: 0.19 | Accuracy: 1.00
[Training] Itteration/Batch: 800/2170: Loss: 1.36 | Accuracy: 0.98
[Training] Itteration/Batch: 825/2170: Loss: 0.22 | Accuracy: 0.96
[Training] Itteration/Batch: 850/2170: Loss: 0.28 | Accuracy: 0.98
[Training] Itteration/Batch: 875/2170: Loss: 0.25 | Accuracy: 0.96
[Training] Itteration/Batch: 900/2170: Loss: 0.53 | Accuracy: 0.94
[Training] Itteration/Batch: 925/2170: Loss: 0.35 | Accuracy: 0.98
[Training] Itteration/Batch: 950/2170: Loss: 0.12 | Accuracy: 1.00
[Training] Itteration/Batch: 975/2170: Loss: 0.42 | Accuracy: 0.94
[Training] Itteration/Batch: 1000/2170: Loss: 0.29 | Accuracy: 0.96
[Training] Itteration/Batch: 1025/2170: Loss: 0.10 | Accuracy: 1.00
[Training] Itteration/Batch: 1050/2170: Loss: 0.15 | Accuracy: 1.00
[Training] Itteration/Batch: 1075/2170: Loss: 1.04 | Accuracy: 0.98
[Training] Itteration/Batch: 1100/2170: Loss: 0.12 | Accuracy: 1.00
[Training] Itteration/Batch: 1125/2170: Loss: 0.51 | Accuracy: 0.96
[Training] Itteration/Batch: 1150/2170: Loss: 0.40 | Accuracy: 0.98
[Training] Itteration/Batch: 1175/2170: Loss: 0.09 | Accuracy: 1.00
[Training] Itteration/Batch: 1200/2170: Loss: 0.69 | Accuracy: 0.92
[Training] Itteration/Batch: 1225/2170: Loss: 0.56 | Accuracy: 0.98
[Training] Itteration/Batch: 1250/2170: Loss: 0.43 | Accuracy: 0.96
[Training] Itteration/Batch: 1275/2170: Loss: 0.13 | Accuracy: 1.00
[Training] Itteration/Batch: 1300/2170: Loss: 0.80 | Accuracy: 0.93
[Training] Itteration/Batch: 1325/2170: Loss: 0.62 | Accuracy: 0.94
[Training] Itteration/Batch: 1350/2170: Loss: 0.10 | Accuracy: 1.00
[Training] Itteration/Batch: 1375/2170: Loss: 0.78 | Accuracy: 0.94
[Training] Itteration/Batch: 1400/2170: Loss: 0.49 | Accuracy: 0.98
[Training] Itteration/Batch: 1425/2170: Loss: 0.59 | Accuracy: 0.91
[Training] Itteration/Batch: 1450/2170: Loss: 0.26 | Accuracy: 1.00
[Training] Itteration/Batch: 1475/2170: Loss: 1.21 | Accuracy: 0.90
[Training] Itteration/Batch: 1500/2170: Loss: 0.55 | Accuracy: 0.90
[Training] Itteration/Batch: 1525/2170: Loss: 0.21 | Accuracy: 1.00
[Training] Itteration/Batch: 1550/2170: Loss: 0.66 | Accuracy: 0.98
[Training] Itteration/Batch: 1575/2170: Loss: 0.31 | Accuracy: 1.00
